"List Sharing","List Sharing"
"My Wish List","My Wish List"
"Wish List","Wish List"
"You have no Wish Lists.","You have no Wish Lists."
"You have no Requisition Lists.","You have no Requisition Lists."
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"My Wish Lists","My Wish Lists"
"Page not found.","Page not found."
"Most Wanted Items in Lists","Most Wanted Items in Lists"
"Most Purchased Items from Lists","Most Purchased Items from Lists"
"The Wish List item can't load at this time. Please try again later.","The Wish List item can't load at this time. Please try again later."
"We can't configure the product right now.","We can't configure the product right now."
"Can't load wishlist.","Can't load wishlist."
"We can't find %1 items.","We can't find %1 items."
"%1 items are already present in %2: %3.","%1 items are already present in %2: %3."
"We can't specify a product.","We can't specify a product."
"We can't add the item to Wish List right now: %1.","We can't add the item to Wish List right now: %1."
"We can't add the item to Wish List right now.","We can't add the item to Wish List right now."
"%s items cannot be copied: %s.","%s items cannot be copied: %s."
"We can't copy %s items.","We can't copy %s items."
"%s got copied to <a href=""%s"">%s</a> successfully.","%s got copied to <a href=""%s"">%s</a> successfully."
"We can't specify a wishlist.","We can't specify a wishlist."
"The cart item doesn't exist.","The cart item doesn't exist."
"We can't move the item to the wish list.","We can't move the item to the wish list."
"%s items cannot be moved: %s.","%s items cannot be moved: %s."
"We can't move %s items.","We can't move %s items."
"%s got moved to <a href=""%s"">%s</a> successfully.","%s got moved to <a href=""%s"">%s</a> successfully."
"We can't find item.","We can't find item."
"Something is wrong.","Something is wrong."
"We can't delete the item from Wish List right now because of an error: %1.","We can't delete the item from Wish List right now because of an error: %1."
"We can't delete the item from the Wish List right now.","We can't delete the item from the Wish List right now."
"Can't load item.","Can't load item."
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"This product(s) is out of stock.","This product(s) is out of stock."
"We can't add the item to the cart right now.","We can't add the item to the cart right now."
"You will no longer receive wishlist price alerts.","You will no longer receive wishlist price alerts."
"Unable to update the wishlist price alert subscription.","Unable to update the wishlist price alert subscription."
"Something wrong","Something wrong"
"We can't delete the default Wish List.","We can't delete the default Wish List."
"We can't delete the Wish List right now: %1.","We can't delete the Wish List right now: %1."
"""%1"" wish list has been deleted.","""%1"" wish list has been deleted."
"We can't delete item from Wish List right now.","We can't delete item from Wish List right now."
"%1 has been updated in your Wish List.","%1 has been updated in your Wish List."
"Can't save description %1","Can't save description %1"
"Wish list has been updated.","Wish list has been updated."
"Requisition list has been updated.","Requisition list has been updated."
"Can't update wish list","Can't update wish list"
"A list with the same name already exist.","A list with the same name already exist."
"We can't create the Wish List right now.","We can't create the Wish List right now."
"The requested Wish List doesn't exist.","The requested Wish List doesn't exist."
"We can't save the cron expression.","We can't save the cron expression."
"Maximum Search query length is %1","Maximum Search query length is %1"
"Minimum Search query length is %1","Minimum Search query length is %1"
"Error while removing items from wishlist: %1","Error while removing items from wishlist: %1"
"The wishlist item doesn't exist.","The wishlist item doesn't exist."
"Item with ID %1 not found","Item with ID %1 not found"
"You can't change owner of your wishlist","You can't change owner of your wishlist"
"Unable to save wishlist with ID %1. Error: %2","Unable to save wishlist with ID %1. Error: %2"
"Unable to save new wishlist. Error: %1","Unable to save new wishlist. Error: %1"
"Wishlist with specified ID ""%1"" not found.","Wishlist with specified ID ""%1"" not found."
"Wishlist with specified Customer ID ""%1"" not found.","Wishlist with specified Customer ID ""%1"" not found."
"Unable to remove wishlist with ID %1. Error: %2","Unable to remove wishlist with ID %1. Error: %2"
"Unable to remove wishlist. Error: %1","Unable to remove wishlist. Error: %1"
"Error while adding items to wishlist: %1","Error while adding items to wishlist: %1"
"Default Stock","Default Stock"
"%1 (Default)","%1 (Default)"
"Wish Lists","Wish Lists"
"Requisition Lists","Requisition Lists"
Twitter,Twitter
Facebook,Facebook
Pinterest,Pinterest
LinkedIn,LinkedIn
Line,Line
Telegram,Telegram
Wish,Wish
Requisition,Requisition
"Sign in to edit wish lists.","Sign in to edit wish lists."
"The wish list is not assigned to your account and can't be edited.","The wish list is not assigned to your account and can't be edited."
"Provide the wish list name.","Provide the wish list name."
"Wish list ""%1"" already exists.","Wish list ""%1"" already exists."
"The current user cannot perform operations on wishlist.","The current user cannot perform operations on wishlist."
"The wishlist was not found for this customer.","The wishlist was not found for this customer."
"Product Name","Product Name"
SKU,SKU
"Orders Placed from Lists","Orders Placed from Lists"
"Qty Purchased from Lists","Qty Purchased from Lists"
"View more","View more"
Open,Open
"%1 has been added to <a href=""%2"">%3</a>.","%1 has been added to <a href=""%2"">%3</a>."
"<a href=""%1"">%2</a> has been created.","<a href=""%1"">%2</a> has been created."
"%1 has been moved to <a href=""%2"">%3</a>.","%1 has been moved to <a href=""%2"">%3</a>."
"Delete Wish List","Delete Wish List"
Qty,Qty
"Add to Cart","Add to Cart"
Availability,Availability
"In stock","In stock"
"Out of stock","Out of stock"
"Copy Item","Copy Item"
Copy,Copy
Edit,Edit
"Move Item","Move Item"
Move,Move
"Delete Item","Delete Item"
Delete,Delete
"This Wish List has no Items","This Wish List has no Items"
"Go to wishlist page","Go to wishlist page"
"The folder is empty","The folder is empty"
"Product Image","Product Image"
"Open list of actions","Open list of actions"
"View wishlist","View wishlist"
View,View
"Delete wishlist","Delete wishlist"
"%1 items","%1 items"
"Select All","Select All"
